raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
spsrq_illegal,NA,Do you often refrain from doing something because you are afraid of it being illegal?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_money_positive,NA,Does the good prospect of obtaining money motivate you strongly to do something?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_certain_obtain,NA,prefer not to ask for something when you are not sure you will obtain it?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_others_value,NA,Are you frequently encouraged to act by the possibility of being va ... r friends or with your family?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_fear_unexpected,NA,Are you often afraid of new or unexpected situations?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_physical_attract,NA,Do you often meet people that you find physically attractive?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_telephone,NA,Is it difficult for you to telephone someone you do not know?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_drug_pleasant,NA,Do you like to take some drugs because of the pleasure you get from them?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_right,NA,Do you often renounce your rights when you know you can avoid a qua ... h a person or an organization?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_praise,NA,Do you often do things to be praised?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_punish_concern,NA,"As a child, were you trouble by punishments at home or in school?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_attention,NA,Do you like being the center of attention at a party or a social meeting?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_failure,NA,"In tasks that you are not prepared for, do you attach great importance to the possibility of failure?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_good_image,NA,Do you spend a lot of your time on obtaining a good image?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_discourage,NA,Are you easily discouraged in difficult situations?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_affection,NA,Do you need people to show their affection for you all the time?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_shy,NA,Are you a shy person?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_intelligent,NA,"When you are in a group, do you try to make your opinions the most intelligent or the funniest?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_embarassed,NA,"Whenever possible, do you avoid demonstrating your skills for fear of being embarrassed?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_pick_up,NA,Do you often take the opportunity to pick up people you find attractive?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_topic,NA,"When you are with a group, do you have difficulties selecting a good topic to talk about?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_approval,NA,"As a child, did you do a lot of things to get people’s approval?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_fall_asleep,NA,Is it often difficult for you to fall asleep when you think about things you have done or must do?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_unfair,NA,"Does the possibility of social advancement, move you to action, even if this involves not playing fair?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_meal_complain,NA,Do you think a lot before complaining in a restaurant if your meal is not well prepared?,raw,0,NA,NA,NA,NA,NA,NA
spsqr_immediate_gain,NA,Do you generally give preferences to those activities that imply an immediate gain?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_wrong_change,NA,Would you be bothered if you had to return to a store when you noticed you were given the wrong change?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_forbidden,NA,Do you often have trouble resisting the temptation of doing forbidden things? ,raw,0,NA,NA,NA,NA,NA,NA
spsrq_unknown_place,NA,"Whenever you can, do you avoid going to unknown places?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_win,NA,Do you like to compete and do everything you can to win?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_worry,NA,Are you often worried by things that you said or did?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_pleasant_relate,NA,Is it easy for you to associate tastes and smells to very pleasant events?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_salary_increase,NA,Would it be difficult for you to ask your boss for a raise (salary increase)?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_pleasant_remind,NA,Are there a large number of objects or sensations that remind you of pleasant events?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_public_speak,NA,Do you generally try to avoid speaking in public?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_slot_machine,NA,"When you start to play with a slot machine, is it often difficult for you to stop?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_do_more,NA,"Do you, on a regular basis, think that you could do more things if it was not for your insecurity or fear?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_quick_gain,NA,Do you sometimes do things for quick gains?,raw,0,NA,NA,NA,NA,NA,NA
spsrq_fear,NA,"Comparing yourself to people you know, are you afraid of many things?",raw,0,NA,NA,NA,NA,NA,NA
spsrq_stray_off,NA,Does your attention easily stray from your work in the presence of an attractive stranger?,raw,0,NA,NA,NA,NA,NA,NA
