raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
sataq_athletic,NA,It is important for me to look athletic.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_muscular,NA,I think a lot about looking muscular.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_thin,NA,I want my body to look very thin.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_no_fat,NA,I want my body to look like it has little fat.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_look_thin,NA,I think a lot about looking thin.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_look_athletic,NA,I spend a lot of time doing things to look more athletic,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_think_athletic,NA,I think a lot about looking athletic,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_look_lean,NA,I want my body to look very lean.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_little_fat,NA,I think a lot about having very little body fat.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_look_muscular,NA,I spend a lot of time doing things to look more muscular.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_family_thin,NA,I feel pressure from family members to look thinner.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_family_improve,NA,I feel pressure from family members to improve my appearance.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_family_fat,NA,Family members encourage me to decrease my level of body fat.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_family_shape,NA,Family members encourage me to get in better shape.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_peer_thin,NA,My peers encourage me to get thinner.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_peer_improve,NA,I feel pressure from my peers to improve my appearance.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_peer_shape,NA,I feel pressure from my peers to look in better shape.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_peer_body_fat,NA,I get pressure from my peers to decrease my level of body fat.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_media_shape,NA,I feel pressure from the media to look in better shape.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_media_thin,NA,I feel pressure from the media to look thinner.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_media_look,NA,I feel pressure from the media to improve my appearance.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
sataq_media_fat,NA,I feel pressure from the media to decrease my level of body fat.,raw,0,"definitely disagree=1,mostly disagree=2,neither agree nor disagree=3,mostly agree=4,definitely agree=5",NA,NA,NA,NA,NA
"sataq_athletic,sataq_muscular,sataq_thin,sataq_no_fat,sataq_look_thin,sataq_look_athletic,sataq_think_athletic,sataq_look_lean,sataq_little_fat,sataq_look_muscular,sataq_family_thin,sataq_family_improve,sataq_family_fat,sataq_family_shape,sataq_peer_thin,sataq_peer_improve,sataq_peer_shape,sataq_peer_body_fat,sataq_media_shape,sataq_media_thin,sataq_media_look,sataq_media_fat",NA,NA,select ,1,NA,NA,NA,NA,NA,NA
sataq_athletic,sataq_1_athletic,It is important for me to look athletic.,recode,2,"definitely disagree=0,mostly disagree=1,neither agree nor disagree=2,mostly agree=3,definitely agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
sataq_muscular,sataq_2_muscular,I think a lot about looking muscular.,recode,2,"definitely disagree=0,mostly disagree=1,neither agree nor disagree=2,mostly agree=3,definitely agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
sataq_thin,sataq_3_thin,I want my body to look very thin.,recode,2,"definitely disagree=0,mostly disagree=1,neither agree nor disagree=2,mostly agree=3,definitely agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
sataq_no_fat,sataq_4_no_fat,I want my body to look like it has little fat.,recode,2,"definitely disagree=0,mostly disagree=1,neither agree nor disagree=2,mostly agree=3,definitely agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
sataq_look_thin,sataq_5_look_thin,I think a lot about looking thin.,recode,2,"definitely disagree=0,mostly disagree=1,neither agree nor disagree=2,mostly agree=3,definitely agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
sataq_look_athletic,sataq_6_look_athletic,I spend a lot of time doing things to look more athletic,recode,2,"definitely disagree=0,mostly disagree=1,neither agree nor disagree=2,mostly agree=3,definitely agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
